id,name,phoneNumber,role,email,friendsNumber,giftsSentNumber,giftsReceivedNumber
52dac3f6-8156-40d5-b56c-b7113a07a3ad,Marvin Howell,328.742.7062 x1313,Admin,tmarawan11@gmail.com,4,3,7
9afeb30d-45fd-4ad8-8d11-592bdf3b0593,Mrs. Theodore Harber,1-850-764-5413 x73003,Admin,tmarawan11@gmail.com,8,2,9
d2b9b3b1-bad2-49d5-81a4-8adcc7c646cf,Vicki Hessel,1-593-245-1790 x6452,Admin,tmarawan11@gmail.com,7,1,4
8ab26dc0-75b6-4dee-9518-67f7df6c6713,Peter Jast,993-977-6976 x6140,Admin,tmarawan11@gmail.com,8,1,3
36abacb5-d25f-47d7-a61c-e19b42364676,Mr. Billy Brakus,410-398-2906,Admin,tmarawan11@gmail.com,8,9,8
1b54e2dc-515d-4e8e-b2c9-01c51efbe9b4,Marianne Hintz,711-213-8120,Seller,tmarawan11@gmail.com,4,8,8
91a2c7ba-1449-4d48-b1bb-d2963800fc9c,Conrad Friesen I,512-284-3459,Admin,tmarawan11@gmail.com,7,3,8
f2b36d39-1124-490c-b118-271e08615630,Winston Bailey,(441) 674-3775 x4127,Customer,tmarawan11@gmail.com,5,8,2
d747b86c-9ef0-453e-a6e1-8e410e68effc,Laura Harris,296-737-7083 x66757,Seller,tmarawan11@gmail.com,9,9,9
5484435b-68ac-4510-9b3c-498cf6ce8b16,Noel Ryan,210.852.9202,Seller,tmarawan11@gmail.com,1,4,1
a863e31f-ffda-4a50-bf4f-fc8df302e830,Bessie Lindgren,(858) 918-2236,Seller,tmarawan11@gmail.com,4,4,3
3703059b-ac0e-4bf0-b2fe-276a766cdb45,Miss Javier Thompson,1-811-494-6206,Admin,tmarawan11@gmail.com,6,2,8
756af558-a0e0-483d-b7f8-8a103b98e058,Dale Roob II,932-975-3246 x37010,Admin,tmarawan11@gmail.com,5,5,6
90275e03-694a-4382-9345-9f08dcf69a0a,Moses Feeney,(412) 846-4377 x249,Customer,tmarawan11@gmail.com,8,8,9
389cf928-0f63-44b8-b229-6d80154c32d5,Mrs. Diana Larson,454.769.0228,Admin,tmarawan11@gmail.com,8,5,4
30a1486d-1e46-49e9-b3ea-2641fe60aafc,Mrs. Clifton Cummings,543.411.3492 x122,Customer,tmarawan11@gmail.com,3,8,6
0c54d92e-152e-4c64-a0ec-01015cc78974,Dr. Marjorie Mosciski IV,1-512-382-3793 x591,Admin,tmarawan11@gmail.com,1,2,6
e5569575-6fb6-448d-a414-82920515120d,Allison Luettgen I,(747) 573-9619,Customer,tmarawan11@gmail.com,9,2,6
abfac636-6aee-4258-b2da-42a479615585,Dixie Bogisich,690.362.5479 x198,Seller,tmarawan11@gmail.com,6,3,6
4dd66a98-d9ac-4348-95b0-fe53dda2cbbb,Katie Sipes,975-388-2860 x525,Customer,tmarawan11@gmail.com,7,5,9
4bec074e-0bee-4ed7-a6b4-3819a47b587b,Alyssa Ruecker,488-877-8099 x750,Seller,tmarawan11@gmail.com,9,1,4
c176bb60-e076-4164-ba05-c5477efe1578,Charlie Walker,1-266-849-7905 x43603,Customer,tmarawan11@gmail.com,4,6,4
6c0a508b-460f-4695-be81-0c34dc7a97af,Jesse Quigley,1-629-707-4062,Admin,tmarawan11@gmail.com,9,3,4
b4ad06ae-c963-42f8-b9a5-ca1bfb9ac4b6,Luke Nicolas,(965) 657-7075,Customer,tmarawan11@gmail.com,3,4,8
